category_name_texts,article_title_texts,article_title_links
Law & Government,Are CPF funds mismanaged?,/factually/content/are-cpf-funds-mismanaged
Law & Government,Were CPF Board and Government-linked entities identified in the Panama Papers?,/factually/content/were-cpf-board-and-government-linked-entities-identified-in-the-panama-papers
Law & Government,Is my vote secret?,/factually/content/is-my-vote-secret
Economy & Finance,Why stop Public Assistance?,/factually/content/why-stop-public-assistance
Economy & Finance,Why are some revenues not included in the Budget Statement?,/factually/content/why-are-some-revenues-not-included-in-the-budget-statement
Education & Employment,8 things you should know before you enrol in a private school,/factually/content/8-things-you-should-know-before-you-enrol-in-a-private-school
Health,Are melamine food wares safe to use?,/factually/content/are-melamine-food-wares-safe-to-use
Health,Cancer-stricken and all on her own?,/factually/content/cancer-stricken-and-all-on-her-own
Environment,Is it true that Singapore's temperature is expected to soar to 40°C in the next few days?,/factually/content/is-it-true-that-singapore-temperature-is-expected-to-soar-to-40-degrees-celsius-in-the-next-few-days
Transport & Motoring,Questions on the Cross Island Line,/factually/content/questions-on-the-cross-island-line
Health,Will the haze give me cancer?,/factually/content/will-the-haze-give-me-cancer
Environment,Why does it look so hazy even when the PSI reading is low?,/factually/content/why-does-it-look-so-hazy-even-when-the-psi-reading-is-low
Health,Is rain produced by clouds seeded in neighbouring countries harmful?,/factually/content/is-rain-produced-by-clouds-seeded-in-neighbouring-countries-harmful
Health,What should I do if the PSI gets too high?,/factually/content/what-should-i-do-if-the-psi-gets-too-high
Environment,Is it true that the Government conducts cloud seeding to ensure that the haze does not affect F1?,/factually/content/is-it-true-that-the-government-conducts-cloud-seeding-to-ensure-that-the-haze-does-not-affect-f1
Housing,Are foreigners allowed to work as a real estate salesperson?,/factually/content/areforeignersallowedtoworkasarealestatesalesperson
Law & Government,What are the do's and don'ts on Cooling-off Day and Polling Day?,/factually/content/what-are-the-dos-and-donts-on-cooling-off-day-and-polling-day
Law & Government,Are candidates allowed to send personalised election mailers to potential voters?,/factually/content/are-candidates-allowed-to-send-personalised-election-mailers-to-potential-voters
Law & Government,Can anyone put up election posters and banners?,/factually/content/can-anyone-put-up-election-posters-and-banners
Law & Government,Is it illegal to put up posters of political party leaders if they are not contesting in that constituency?,/factually/content/isitillegaltoputuppostersofpoliticalpartyleadersiftheyarenotcontestinginthatconstituency
Law & Government,Are there limits to how much a party can spend on election campaigns?,/factually/content/are-there-limits-to-how-much-a-party-can-spend-on-election-campaigns
Education & Employment,"Can firms hire Indian professionals in Singapore without valid work passes, or without adhering to fair employment guidelines?",/factually/content/can-indian-professionals-work-in-singapore-without-valid-work-passes
Law & Government,Is Polling Day a public holiday?,/factually/content/is-polling-day-a-public-holiday
Law & Government,How do I vote on 11th September when I am overseas?,/factually/content/how-do-i-vote-on-11th-sept-when-i-am-overseas
Law & Government,How are the votes counted?,/factually/content/how-are-the-votes-counted
Law & Government,What happens on Cooling-Off Day?,/factually/content/what-happens-on-cooling-off-day
Law & Government,Can I vote on behalf of a family member who is unable to make his/her way to the polling station?,/factually/content/can-i-vote-on-behalf-of-a-family-member-who-is-unable-to-make-his-her-way-to-the-polling-station
Law & Government,Can I vote if I forgot to bring my poll card to the polling station?,/factually/content/can-i-vote-if-i-forgot-to-bring-my-poll-card-to-the-polling-station
Law & Government,How can I vote if I am living overseas?,/factually/content/how-can-i-vote-if-i-am-living-overseas
Law & Government,Can I vote?,/factually/content/can-i-vote
Law & Government,Can I help a physically handicapped family member mark his ballot paper?,/factually/content/can-i-help-a-physically-handicapped-family-member-mark-his-ballot-paper
Law & Government,I am working on Polling Day. Do I still have to vote?,/factually/content/i-am-working-on-polling-day-do-i-still-have-to-vote
Law & Government,How is my vote still secret if the ballot paper has a serial number on it?,/factually/content/how-is-my-vote-still-secret-if-the-ballot-paper-has-a-serial-number-on-it
Law & Government,Polling Day Do's and Don'ts,/factually/content/polling-day-dos-and-donts
Law & Government,Is it true that 12 Sep is Polling Day?,/factually/content/is-it-true-that-12-sep-is-polling-day
Law & Government,Has a video by the SDP been unfairly classified as a Party Political Film?,/factually/content/has-a-video-by-the-sdp-been-unfairly-classified-as-a-party-political-film-2
Law & Government,What protection do I have against errant retailers?,/factually/content/what-protection-do-i-have-against-errant-retailers
Law & Government,What is the lemon law?,/factually/content/what-is-the-lemon-law
Law & Government,Do Government agencies follow-up on the findings of the AGO report?,/factually/content/do-government-agencies-follow-up-on-the-findings-of-the-ago-report
Law & Government,Did AHPETC misquote DPM Tharman and attribute to him statements he did not make?,/factually/content/did-dpm-tharman-use-inaccurate-data-when-speaking-in-parliament-about-ahpetc
Health,Will I be jailed if I am not able to pay my MediShield Life premium?,/factually/content/will-i-be-jailed-if-i-am-not-able-to-pay-my-medishield-life-premium
Savings & Taxes,Why doesn't the Government increase social spending?,/factually/content/whydoesntthegovernmentincreasesocialspending
Transport & Motoring,Are lower income Singaporeans spending less on public transport?,/factually/content/arelowerincomesingaporeansspendinglessonpublictransport
Others,"Factually SG50 Edition: More fun facts about our ""little red dot""!",/factually/content/factually-sg50-edition-part-2
Others,"Factually SG50 Edition: Fun facts about our ""little red dot""!",/factually/content/factually-sg50-edition-50-fun-facts-about-out-little-red-dot
Savings & Taxes,Is the Government planning to raise the GST after the 2015 General Elections?,/factually/content/is-the-government-planning-to-raise-the-gst-after-the-next-general-elections
Economy & Finance,"Will Singapore Savings Bonds be used to finance an ""underground city""?",/factually/content/will-singapore-savings-bonds-be-used-to-finance-an-underground-city
Housing,Is sub-standard quality concrete being used at a HDB construction site in Punggol?,/factually/content/is-it-true-that-sub-standard-quality-concrete-is-being-used-at-a-hdb-construction-site-in-punggol
Health,What help will I receive when I am sick?,/factually/content/what-help-will-i-receive-when-i-am-sick
Defence & Security,When can I call an SCDF Ambulance?,/factually/content/when-can-i-call-an-scdf-ambulance
Education & Employment,How can I remain employable?,/factually/content/how-can-i-remain-employable
Health,What's this MERS-CoV that’s been in the news lately?,/factually/content/whats-this-merscov-thats-been-in-the-news-lately
Housing,What HDB grants are there to help?,/factually/content/what-hdb-grants-are-there-to-help
Housing,How do HDB priority schemes help Singaporeans own a home?,/factually/content/how-does-hdb-priority-schemes-help-singaporeans-own-a-home
Education & Employment,Are Singaporean PMETs losing out?,/factually/content/are-singaporean-pmets-losing-out
Law & Government,What do People's Association grassroots leaders do?,/factually/content/what-do-peoples-association-grassroots-leaders-do
Savings & Taxes,CPF Advisory Panel's Recommendations,/factually/content/cpf-advisory-panels-recommendations
Transport & Motoring,Questions on Public Transport Fare Review Exercise 2014,/factually/content/questions-on-public-transport-fare-review-exercise-2014
Education & Employment,Clearing the air on key manpower statistics,/factually/content/clearing-the-air-on-key-manpower-statistics
Health,Will I get Ebola in Singapore?,/factually/content/will-i-get-ebola-in-singapore
Defence & Security,Are the stereotypes about SAF NSmen true?,/factually/content/are-the-stereotypes-about-saf-nsmen-true
Savings & Taxes,Is it true that I have to pay GST on items purchased overseas? ,/factually/content/is-it-true-that-i-have-to-pay-gst-on-items-purchased-overseas
Law & Government,What exactly does a Nominated Member of Parliament do?,/factually/content/what-exactly-does-a-nominated-member-of-parliament-do
Transport & Motoring,What are the checkpoint fees vehicles coming to Singapore from Malaysia need to pay?,/factually/content/what-are-the-checkpoint-fees-vehicles-coming-to-singapore-from-malaysia-need-to-pay
Savings & Taxes,10 things you should know about your CPF money,/factually/content/10-things-you-should-know-about-your-cpf-money
Housing,What is HDB doing to ensure the quality of new flats?,/factually/content/what-is-hdb-doing-to-ensure-the-quality-of-new-flats
Transport & Motoring,How are our expressways named?,/factually/content/how-are-our-expressways-named
Housing,Why does HDB allow flat owners to sublet their flat?,/factually/content/why-does-hdb-allow-flat-owners-to-sublet-their-flat
Law & Government,Do table-to-table tissue packet sellers at food centres pay licensing fees to NEA?,/factually/content/do-table-to-table-tissue-packet-sellers-at-food-centres-pay-licensing-fees-to-nea
Savings & Taxes,Top 4 CPF myths debunked,/factually/content/top-4-cpf-myths-debunked
Housing,Why can't HDB grant bigger loans to buy the flat of my choice? ,/factually/content/why-cant-hdb-grant-bigger-loans-to-buy-the-flat-of-my-choice
Law & Government,What is the Budget Process? ,/factually/content/what-is-the-budget-process
Transport & Motoring,How have public transport fares changed after the 2013 Fare Review?,/factually/content/how-have-public-transport-fares-changed-after-the-2013-fare-review
Law & Government,What happens to ballot boxes used in elections after polls close?,/factually/content/what-happens-to-ballot-boxes-used-in-elections-after-polls-close
Defence & Security,Who can send foreign workers home if they threaten Singapore’s security?,/factually/content/who-can-send-foreign-workers-home-if-they-threaten-singapores-security
Law & Government,Was the Breakfast Network banned by the MDA?,/factually/content/was-the-breakfast-network-banned-by-the-mda
Defence & Security,What are the facts of the rioting incident at Little India on 8 Dec?,/factually/content/what-are-the-facts-of-the-rioting-incident-at-little-india-on-8-dec
Defence & Security,Was the public properly informed about all the maintenance and attacks? ,/factually/content/was-the-public-properly-informed-about-all-the-maintenance-and-attacks
Law & Government,Is it a constitutional right to have access to a lawyer immediately after being arrested?,/factually/content/is-it-a-constitutional-right-to-have-access-to-a-lawyer-immediately-after-being-arrested
Law & Government,Why wasn't the downtime of Government sites discussed in Parliament?,/factually/content/why-wasnt-ncmp-lina-chiams-question-on-the-downtime-of-government-sites
Defence & Security,What was the cause of disruption to Government websites on 2 November ?,/factually/content/what-was-the-cause-of-disruption-to-government-websites-on-2-november
Defence & Security,How can websites be compromised?,/factually/content/how-can-websites-be-compromised
Law & Government,How does the Government safeguard against misconduct by public officers?,/factually/content/how-does-the-government-safeguard-against-misconduct-by-public-officers
Health,Do parents really have to pay more to bring home the right baby? ,/factually/content/do-parents-really-have-to-pay-more-to-bring-home-the-right-baby
Economy & Finance,"For information on income, should I be looking at the statistics from MOM or CPFB’s Annual Report?",/factually/content/for-information-on-income-should-i-be-looking-at-the-statistics-from-mom-or-cpfbs-annual-report
Savings & Taxes,How accurate are international pension studies in assessing the CPF system?,/factually/content/how-accurate-are-international-pension-studies-in-assessing-the-cpf-system
Education & Employment,Unemployment in Singapore,/factually/content/unemployment-in-singapore
Housing,How can the enhanced Special CPF Housing Grant help me finance a new flat? ,/factually/content/how-can-the-enhanced-special-cpf-housing-grant-help-me-finance-a-new-flat
Economy & Finance,Are we being underpaid?,/factually/content/does-singapores-relatively-low-gdp-wage-share-mean-that-we-are-underpaid
Law & Government,Is it true that the residents of Pulau Ubin will be evicted?  ,/factually/content/is-it-true-that-the-residents-of-pulau-ubin-will-be-evicted
Health,What is HOTA all about?  ,/factually/content/what-is-hota-all-about
Housing,Can singles only buy HDB flats from the resale market?,/factually/content/can-singles-only-buy-hdb-flats-from-the-resale-market
Health,Why is the government building more nursing homes in Singapore? ,/factually/content/why-is-the-government-building-more-nursing-homes-in-singapore
Savings & Taxes,Property Tax on Residential Property,/factually/content/property-tax-on-residential-property
Housing,How is HDB helping low-income households with a roof over their head?,/factually/content/how-is-hdb-helping-lowincome-households-with-a-roof-over-their-head
Environment,What are the facts surrounding the haze situation?,/factually/content/what-are-the-facts-surrounding-the-haze-situation
Law & Government,What is the licensing framework for online news sites all about?,/factually/content/what-is-the-licensing-framework-for-online-news-sites-all-about
Economy & Finance,Have our real incomes been stagnating?,/factually/content/have-our-real-incomes-been-stagnating
Economy & Finance,Is Purchasing Power in Singapore low? ,/factually/content/is-purchasing-power-in-singapore-low
Law & Government,Is NEA really breaking into our homes to do dengue checks?,/factually/content/is-nea-really-breaking-into-our-homes-to-do-dengue-checks
Transport & Motoring,What are some of the initiatives planned to beef up our transport system?,/factually/content/what-are-some-of-the-initiatives-planned-to-beef-up-our-transport-system
Law & Government,Who is usually informed when an arrest is made in Singapore? ,/factually/content/who-is-usually-informed-when-an-arrest-is-made-in-singapore
Transport & Motoring,Why isn't the Government doing anything about rising COE prices?,/factually/content/why-isnt-the-government-doing-anything-about-rising-coe-prices
Housing,Do HDB’s new flat purchase policies really favour Singaporeans?,/factually/content/do-hdbs-new-flat-purchase-policies-really-favour-singaporeans
Defence & Security,Must Permanent Residents (PRs) do National Service?,/factually/content/must-permanent-residents-do-national-service
Immigration & Citizenship,Do you know how many types of foreign workers we have in Singapore? ,/factually/content/do-you-know-how-many-types-of-foreign-workers-we-have-in-singapore
Education & Employment,3 things Singaporeans should know if they wish to study in local universities,/factually/content/3-things-singaporeans-should-know-if-they-wish-to-study-in-local-universities
Housing,Why does HDB continue to allow Executive Condominiums (ECs) to be built?,/factually/content/why-does-hdb-continue-to-allow-executive-condominiums-ecs-to-be-built
Environment,Will the Marina Barrage cause flooding in Orchard Road?,/factually/content/will-the-marina-barrage-cause-flooding-in-orchard-road
Economy & Finance,How is the government helping to mitigate inflation in Singapore?,/factually/content/how-is-the-government-helping-to-mitigate-inflation-in-singapore
Education & Employment,Why bring in skilled foreigners when they compete with Singaporeans for good jobs?,/factually/content/why-bring-in-skilled-foreigners-when-they-compete-with-singaporeans-for-good-jobs
Economy & Finance,How does the shrinking local workforce affect Singapore's economy? ,/factually/content/how-does-the-shrinking-local-workforce-affect-singapores-economy
Law & Government,MDA's classification decision on Sex.Violence.FamilyValues,/factually/content/mdas-classification-decision-on-sexviolencefamilyvalues
Transport & Motoring,Will nationalising our public transport operators keep fares affordable?,/factually/content/will-nationalising-our-public-transport-operators-keep-fares-affordable
Health,Does the Measles-Mumps-Rubella vaccine really cause autism?,/factually/content/does-the-measlesmumpsrubella-vaccine-really-cause-autism
Economy & Finance,Why did the IMF restate Singapore’s fiscal data? ,/factually/content/why-did-the-imf-restate-singapores-fiscal-data
Economy & Finance,Is there something wrong with our Reserves? ,/factually/content/is-there-something-wrong-with-our-reserves
Law & Government,It's All About Choices,/factually/content/its-all-about-choices
Housing,"Are HDB flats still affordable when some are sold for over $600,000?",/factually/content/are-hdb-flats-still-affordable-when-some-are-sold-for-over-600000
Housing,Are HDB flats still affordable when resale flats are being sold close to S$1 million?,/factually/content/are-hdb-flats-still-affordable-when-resale-flats-are-being-sold-close-to-1-million
Housing,Have the sizes of HDB flats been reduced over the years?,/factually/content/have-the-sizes-of-hdb-flats-been-reduced-over-the-years
Transport & Motoring,What Influences COE Prices?,/factually/content/what-influences-coe-prices
Economy & Finance,What comprises our reserves?,/factually/content/what-comprises-our-reserves
Economy & Finance,Is it fiscally sustainable for Singapore to have such a high level of debt? ,/factually/content/is-it-fiscally-sustainable-for-singapore-to-have-such-a-high-level-of-debt
Housing,Are BTO flats currently priced beyond the means of low to median income earners?,/factually/content/are-bto-flats-currently-priced-beyond-the-means-of-low-to-median-income-earners
Housing,HDB flats seem to be priced many times my annual income. How can I afford one?,/factually/content/hdb-flats-seem-to-be-priced-many-times-my-annual-income-how-can-i-afford-one
Savings & Taxes,Why do we have to pay GST? Why can't we exempt basic necessities from GST?,/factually/content/why-do-we-have-to-pay-gst-why-cant-we-exempt-basic-necessities-from-gst
Law & Government,Is the Government's procurement process really fair and open?,/factually/content/is-the-governments-procurement-process-really-fair-and-open
Economy & Finance,Why does inflation seem to hit me more than what the Consumer Price Index claims?,/factually/content/why-does-inflation-seem-to-hit-me-more-than-what-the-consumer-price-index-claims
Environment,Would an annual increase in rainfall cause more flash floods?,/factually/content/would-an-annual-increase-in-rainfall-cause-more-flash-floods
Transport & Motoring,Why is there a need for the Government to invest $1.1 billion in buses?,/factually/content/why-is-there-a-need-for-the-government-to-invest-11-billion
Transport & Motoring,Why does the Government need to build the North-South Expressway? ,/factually/content/why-does-the-government-need-to-build-the-northsouth-expressway
