category_name_texts,article_title_texts,article_title_links,headline,date,article_text
Savings & Taxes,Why is GST applied to the water conservation tax?,/factually/content/why-is-gst-applied-to-the-water-conservation-tax,"
                Why is GST applied to the water conservation tax?
            ","
                    06 Feb 2018
                ","The water conservation tax (WCT) and the GST serve different purposes. 
The WCT is levied on all water consumers, to reflect the fact that water is precious, and to encourage every individual and company to play a role in conserving our water resources. When the WCT is added to the water tariff, consumers are paying the long-run marginal cost of water: what it cost to produce the next drop of water from our desalination and Newater plants. 
The GST is a tax levied on the consumption of goods and services. It is calculated based on the final price of goods or services, inclusive of any other taxes and duties. The WCT is part of the final price of water that the GST is levied on. This is similar to practices in other countries such as the United Kingdom and New Zealand. 
What is important is that the Government keeps our system of taxes fair, by helping the lower- and middle-income households through subsidies and grants. 
For example, the permanent GST Voucher scheme has a U-Save component which provides rebates to more than 880,000 HDB households each year to offset their utility bills, with more rebates for those living in smaller HDB flats.
"
Housing,Why did HDB restrict Sigma from tendering for new projects in 2015?,/factually/content/why-did-hdb-restrict-sigma-from-tendering-for-new-projects-in-2015,"
                Why did HDB restrict Sigma from tendering for new projects in 2015?
            ","
                    06 Feb 2018
                ","Sigma has been installing lifts in HDB estates for the past 10 years. Of the approximately 24,000 lifts in HDB estates, about 3,500 are Sigma lifts. The overall performance of Sigma lifts has generally been comparable with that of other lift brands.

So why did HDB restrict Sigma from tendering for new projects in 2015?

Failing to fulfil contractual obligations

In 2013, HDB awarded Sigma a tender to install 469 lifts. However, Sigma was unable to adhere to its contractual deadlines. Hence, in October 2015, HDB restricted Sigma from tendering for new HDB lift contracts so that the company could focus its resources towards fulfilling its existing contractual obligations.

Tender restrictions are a part of HDB’s quality management system to ensure that its contractors are able to deliver to HDB’s standards and contractual requirements. This applies to all HDB contractors, not just lift contractors.

Higher-than-usual breakdown and fault rates

In 2016, HDB observed a higher-than-usual breakdown and fault rate in lifts from this batch of 469 Sigma lifts, particularly in their first year of operations. 

The issues with this batch of 469 Sigma lifts are different from typical lift faults or incidents, which usually involve older lifts, from a variety of lift brands, and which are largely maintenance related.  

For the 469 Sigma lifts, investigations by HDB and independent Authorised Examiners revealed that the design and installation of these lifts complied with prevailing codes and standards.

However, the doors and sensors were more susceptible to misalignment from knocks from heavy and rough lift usage, which typically takes place during the first year of operations from renovation and moving activities.  

HDB has since instructed Sigma to rectify these issues and to carry out improvement works to ensure that the lift doors and sensors operate smoothly. HDB has also issued stern warnings to Sigma, and is closely monitoring the performance of its lifts. 

Both Sigma and its parent company have channelled more resources towards addressing the issues.  In particular, Sigma has undertaken the rectification works progressively, and this has resulted in some observed improvements in lift performance.

HDB will continue to hold Sigma accountable for ensuring its lifts meet the required performance standards. Until this is achieved, the tender restriction on Sigma will continue.

Source: MND
"
Transport & Motoring,What is the difference between Singapore's Vehicle Entry Permit and Malaysia's Road Charge?,/factually/content/what-is-the-difference-between-singapores-vehicle-entry-permit-and-malaysia-road-charge,"
                What is the difference between Singapore's Vehicle Entry Permit and Malaysia's Road Charge?
            ","
                    06 Feb 2018
                ","What is the difference between Singapore's VEP and Malaysia's RC?
Malaysia’s Road Charge is a 24/7 levy imposed on all non-Malaysian-registered cars entering Malaysia on road via Johor. 100% of Singapore-registered cars entering Malaysia on road via Johor will pay the Malaysia Road Charge.
On the contrary, only about one out of ten foreign-registered vehicles that enter Singapore pay Singapore’s VEP, and these are mostly driven by those who work in Singapore. The other 90% do not pay the VEP as they enter Singapore during VEP-free days or hours.
Singapore’s VEP policy, which has been in place since 1973, is meant to equalise the cost of owning and using foreign-registered vehicles in Singapore with that of owning and using Singapore-registered vehicles.  It ensures comprehensiveness of our vehicle population control policy - that there is similar restrain to using foreign vehicles on Singapore’s roads as there is for Singapore vehicles, which are subject to the Certificate of Entitlement (COE) system and high vehicle taxes.
Hence, the intent of the VEP policy is different from that of Malaysia’s Road Charge.
As long as Singapore is the only country affected by Malaysia’s Road Charge, we have no choice but to respond with the Reciprocal Road Charge (RRC). However, once the Road Charge is implemented at all of Malaysia’s other land borders, at an equal quantum and on all non-Malaysian-registered cars, we will remove our RRC.
Do Singapore-registered cars have to pay the VEP?
No, the VEP is levied only on foreign-registered cars. Singapore-registered cars are also not subjected to the Reciprocal Road Charge.
Source: MOT
This article is accurate as of Jan 2017.


Do Singapore-registered cars have to pay the VEP?
No, the VEP is levied only on foreign-registered cars. Singapore-registered cars are also not subjected to the Reciprocal Road Charge.
Source: MOT
This article is accurate as of Jan 2017.

Do Singapore-registered cars have to pay the VEP?
No, the VEP is levied only on foreign-registered cars. Singapore-registered cars are also not subjected to the Reciprocal Road Charge.
Source: MOT
"
Transport & Motoring,"How are we keeping our footpaths, cycling paths and roads safe?",/factually/content/how-are-we-keeping-our-footpaths-cycling-paths-and-roads-safe,"
                How are we keeping our footpaths, cycling paths and roads safe?
            ","
                    06 Feb 2018
                ","The Government has accepted in full the Recommendations on Rules and Code of Conduct for Cycling and the Use of Personal Mobility Devices (PMDs) by the Active Mobility Advisory Panel in March 2016. The Active Mobility Bill was introduced in Parliament for its First Reading on 9 November 2016.

Here’s a snapshot of the Panel’s recommendations:


 
"
Law & Government,Did Minister Shanmugam really say that?,/factually/content/did-minister-shanmugam-really-say-that,"
                Did Minister Shanmugam really say that?
            ","
                    06 Feb 2018
                ","States Times Review (STR) article ""Law Minister K Shanmugam: Eurasian Singaporeans are Indian"" is a disgraceful fabrication. The Minister never said any of the things STR attributes to him. Indeed, he never said anything about Eurasians nor were there any questions posed to him about Eurasians at the IPS conference. It is malicious of STR to spread such vicious falsehoods, calculated to sow discord among our different ethnic groups. The Government will review STR's post and decide whether to take further action against STR.
"
Transport & Motoring,6 things you need to know about the New Rail Financing Framework,/factually/content/6-things-you-need-to-know-about-the-new-rail-financing-framework,"
                6 things you need to know about the New Rail Financing Framework
            ","
                    06 Feb 2018
                ","1. What does the New Rail Financing Framework mean for you?
With LTA as the owner of all operating assets, it will be able to build up, replace and upgrade the assets in a timely manner. Rail operators can then focus on providing reliable and well-maintained rail services for commuters. Fares will also not be affected as they are regulated by the Public Transport Council. Commuter interests remain at the heart of the transition to the New Rail Financing Framework (NRFF).

2. What operating assets will be transferred to LTA?
The operating assets include the trains, signalling system and maintenance equipment such as rail grinding vehicles, electrical and fire protection equipment as well as equipment for power and building services. There are over 60,000 operating asset items.

3. Is the asset transfer a fair transaction?
Yes, LTA will pay SMRT Trains the Net Book Value (NBV), or the cost after depreciation, of the operating assets as stated in SMRT Trains’ and SMRT Light Rail’s accounts as at 30 September 2016. This fair and objective approach was also used when the transfer of assets from the Government to SMRT Trains happened in 1998.
LTA will conduct an audit of SMRT Trains’ and SMRT Light Rail’s finances to verify the NBV of the operating assets being transferred. At the same time, LTA will also assess the condition of the older operating assets to make sure they are in acceptable condition. LTA is entitled to withhold payments for assets that need to be fixed or replaced.
4. Will this transition affect SMRT Trains’ and SMRT Light Rail’s staff?
No. The transition only involves the transfer of ownership of operating assets and will not have an impact on SMRT Trains’ and SMRT Light Rail’s staff.
5. Is Singapore moving towards a nationalised rail sector?
No. The Government is not nationalising the rail sector. A nationalised system is one where the Government itself operates the rail services. Under the NRFF, private rail operators licensed by LTA will continue to run the rail services.
6. How are the discussions with SBS Transit on the transition of the North East Line to the NRFF going?
Discussions are still on-going. Transition will only proceed after both the Government and SBS Transit have agreed on terms.

"
Environment,Is it true that NEA's PSI figures are deliberately under-reported?,/factually/content/is-it-true-that-neas-psi-figures-are-under-reported,"
                Is it true that NEA's PSI figures are deliberately under-reported?
            ","
                    06 Feb 2018
                ","The National Environment Agency (NEA) is aware of an online claim (dated 26 August 2016) that its published air quality information is purposely under-reported to avoid causing public panic. This claim is completely false.
NEA’s air quality readings are taken hourly from our network of 22 air quality monitoring stations across Singapore and are automatically published on various platforms such as the NEA website, haze microsite and myENV mobile application. NEA seeks to provide accurate and authoritative information to the public.
For more information on how NEA measures the air quality in Singapore, please refer to their FAQs page here.
Source: NEA
"
Health,How did one case of Zika infection increase to 41 within a day?,/factually/content/how-did-one-case-of-zika-infection-increase-to-41-within-a-day,"
                How did one case of Zika infection increase to 41 within a day?
            ","
                    06 Feb 2018
                ","Most of the cases surfaced after MOH took quick action to conduct broader checks.
On 27 August, the Ministry of Health and National Environment Agency confirmed the first locally-transmitted case of the Zika virus, as well as the presence of three other suspect cases involving people who live or work in the Aljunied Crescent/Sims Drive area. The number of confirmed cases increased to 41 just a day later on 28 August.


How did one confirmed case increase to 41 cases in just a day? There are several factors for this:
1. The additional cases were identified after MOH conducted active testing of past patients who could potentially have been infected persons. Most of these patients have since recovered.
Timeline of the Zika infection

2. People who have been infected by Zika will show no or mild symptoms only. As the majority of people infected with the virus do not show symptoms, it is likely that some transmission may already have taken place before these cases of Zika were confirmed.
3. Mosquitoes in the area may have already infected new and unreported cases of other people who may not yet show any symptoms.
Due to the factors above, it is expected that more positive cases will be identified in the coming days as the screening of close contacts continue.
Thus, you should not be alarmed if there is a sudden increase in the number of positive cases.
You can play a part in reducing the risk of further spread of Zika. Do the  to prevent mosquito breeding in your home. If you have travelled to an affected country, or live in an area with a known Zika case, monitor your health and consult a doctor if you are unwell, especially if you have a fever and rash.
Source: MOH - Localised Community Spread Of Zika Virus Infection With More Cases Confirmed
"
Health,5 things to know about Zika Virus,/factually/content/5-things-to-know-about-zika-virus,"
                5 things to know about Zika Virus
            ","
                    27 Jul 2018
                ","The Ministry of Health (MOH) and National Environment Agency (NEA) have confirmed several cases of locally transmitted Zika virus infection, some of whom have recovered. They are not known to have travelled to Zika-affected areas recently and are thus likely to have been infected in Singapore.
Find out the latest updates on the Zika situation in Singapore right here.
1. What is the Singapore Government doing about the locally transmitted cases?
Screening and remaining alert
MOH will continue to screen the close contacts of confirmed cases. All suspect cases will be isolated pending confirmation of the blood test results.
All GPs, polyclinics and hospitals have been alerted and are to immediately report patients with symptoms associated with Zika virus infection to MOH. MOH and NEA will also alert residents in the vicinity to seek medical attention should they develop symptoms.
Isolation
For now, as an added precaution, all suspect cases of Zika virus infection will be isolated while awaiting confirmation of the blood test results.
Prevention
NEA has intensified vector control operations to control the Aedes mosquito population. Vector control operations include:
NEA will also be activating partner agencies of the Inter-Agency Dengue Task Force to step up localised search and destroy efforts in their respective areas.
2. What is the Zika virus? 
Zika virus infection is transmitted by the bite of an infected Aedes mosquito. The Aedes mosquito is also a known carrier of the Dengue and Chikungunya viruses. 
Zika is generally a mild disease.  It may cause a viral fever similar to dengue or chikungunya, with fever, skin rashes, body aches, and headache.  Some infected with the Zika virus may not even develop symptoms.
However, Zika virus infection may cause microcephaly in the unborn foetuses of pregnant women. Microcephaly is a rare neurological condition that manifests itself as birth defects in which a baby is born with significantly smaller heads.
3. How do I know if I have Zika?




https://www.youtube.com/embed/z0zpzlWePso?list=PLH2CR4s1lqyjidg_ATqQ_hVvGhz_ry7oo""https://www.youtube.com/embed/z0zpzlWePso?list=PLH2CR4s1lqyjidg_ATqQ_hVvGhz_ry7oo""



The symptoms for Zika include:
Most people infected with the Zika virus do not develop symptoms. For those who do, the symptoms are often very mild. They usually develop within 3 to 12 days after the mosquito bite and often last between 4 to 7 days. 
If you have travelled to an affected country, or live in an area with a known Zika case, you should monitor your health and consult a doctor if you are unwell, especially if you have a fever and rash. 
We advise residents, especially pregnant women, in the Aljunied Crescent area to monitor their health. Seek medical attention if you are unwell, especially with symptoms such as fever and rash. Those without these symptoms but who are concerned that they have been infected with the Zika virus should consult and follow the advice of their doctors regarding the monitoring of their pregnancy. 




https://www.youtube.com/embed/4pzinnt2Cy0?list=PLH2CR4s1lqyjidg_ATqQ_hVvGhz_ry7oo""https://www.youtube.com/embed/4pzinnt2Cy0?list=PLH2CR4s1lqyjidg_ATqQ_hVvGhz_ry7oo""



4. Is there a cure for Zika? 
At the moment, there is no cure nor vaccine to prevent Zika infection. Treatment is solely focused on relieving the symptoms. Those infected are advised to get plenty of rest, drink enough fluids, and treat pain with common medicines.
5. How can I play my part? 




https://www.youtube.com/embed/IOM3EArvhhE""https://www.youtube.com/embed/IOM3EArvhhE""



Do the  to prevent the Aedes mosquito from breeding at home. Cooperate with the NEA, and allow its officers to inspect your premises for mosquito breeding and to spray insecticide to kill any mosquitoes. Protect yourself from mosquito bites by applying insect repellent regularly.
"" class=""img-responsive
Sources: 
MOH – First Case of Locally Transmitted Zika Virus Infection
MOH – Zika Virus
MOH - Precautionary Measures Against Zika Virus Infection
MOH – Additional Measures Against Zika Virus
By: Nur Hidayah Binte Mohd Roslan & Gov.sg team
"
Others,Why is a centralised NAC bin centre needed?,/factually/content/why-is-a-centralised-nac-bin-centre-needed,"
                Why is a centralised NAC bin centre needed?
            ","
                    06 Feb 2018
                ","With reference to the report of the Auditor-General for the Financial Year 2015/16, we accept and acknowledge that the cost assessment for the consultancy services in relation to the centralised bin centre should have been more robust. Relevant processes will be put in place to ensure that the norm for cost assessment of consultancy fees will be adopted for future development projects.
Why a centralised bin centre?
There could be some misunderstanding about the reasons for building the bin centre. It was not a standalone project; but part of redevelopment for the Civic District which is an important cultural and heritage area for Singapore. 
In the past, Victoria Theatre and Victoria Concert Hall (VTVCH), Asian Civilisations Museum (ACM) and Parliament House had their own bin centres.
However, with the redevelopment of the District, there was an opportunity to build a centralised refuse collection centre to serve ACM, VTVCH and Parliament House. This would allow for improved operational processes and enhance the aesthetics of the area.
A suitable location was eventually identified at ACM’s existing outhouse, above its basement, and the construction cost was less than 1% of the development cost for VTVCH.
Why was the project complex and complicated?
This was not a simple bin centre to build. There were many considerations and technical challenges, including the following:
a) structural and reinforcement works as it was above the ACM basement;
b) mechanical and electrical services;
c) diversion of existing underground services; 
d) consideration of ventilation to prevent foul smell from escaping from the bin centre;
e) sensitivity to ACM offices which are right next to  the bin centre; 
f) façade design as the aesthetics of the historic area needed to be preserved;
g) study of traffic flow, e.g., the impact on the ACM unloading/loading bay.
Why were consultancy services necessary?
Consultancy services were necessary because of the complexity of the project. The consultancy services included a feasibility study taking into account the various requirements of three separate institutions — ACM, VTVCH and Parliament House. The needs of each stakeholder had to be met while providing a holistic solution for the whole precinct. 
The consultancy services also included technical study, design proposal, design documentation, tender and contract administration, compliance with all regulatory requirements, etc. 
What has changed for the Civic District?
The Civic District is the historical birthplace of modern Singapore. With the redevelopment, Singaporeans now enjoy the new improvements to the District. There are more green spaces, pedestrian walkways, waterfront steps and even phone-charging benches.
Traffic flow has also improved, and pedestrians can now walk easily between ACM, VTVCH, National Gallery Singapore, Empress Place and Esplanade Park. You can also take a walk along the waterfront plazas in front of the ACM, and at Queen Elizabeth Walk, there are steps that lead to the water's edge.
Source: National Arts Council
"
Economy & Finance,Change in cost of town gas,/factually/content/change-in-cost-of-town-gas,"
                Change in cost of town gas
            ","
                    06 Feb 2018
                ","
How are Town Gas Tariffs calculated?
Town gas tariffs are meant to reflect changes in the cost of producing and transporting town gas. They are reviewed and approved every quarter by the Energy Market Authority (EMA) to ensure that town gas consumers are not overcharged.
Marginal increase next quarter
There will be a marginal increase in town gas tariffs for the quarter from 1 August to 31 October 2016. The increase for this quarter is due to the higher cost of fuel (specifically natural gas and naphtha) used to produce town gas. The fuel cost has risen by 26.2 percent compared with the previous quarter. Despite this increase, the tariff is still lower than the preceding quarters from August 2015 to April 2016. The town gas tariff for August to October will remain lower than in earlier quarters, from August 2015 to April 2016 (see graph above).
How is Government helping?
The Government provides Singaporean households with a GST Voucher – Utilities Save (U-Save) rebate, to help lower living expenses. Singaporean households can look forward to the following vouchers, to offset the increase in town gas tariffs.

Source: MTI
"
Education & Employment,Employment Pass salary criteria to increase in 2017,/factually/content/employment-pass-salary-criteria-to-increase-in-2017,"
                Employment Pass salary criteria to increase in 2017
            ","
                    06 Feb 2018
                ","The Government is raising the salary qualifying criteria for Employment Pass (EP) applications from $3,300 to $3,600. The change will take effect from 1 January 2017. It is part of the Ministry of Manpower’s regular updating of the criteria to keep pace with rising local wages and to maintain the quality of our foreign workforce.
Q: Does this mean EP holders will be employed at higher salaries compared to the local workers?
The EP salary qualifying criteria is a quality bar that foreigners have to pass to be eligible for EP.  
With a higher EP salary bar, fewer foreigners are able to qualify for it. Raising the bar is actually a way to moderate the number of EP holders in Singapore.  
Increasing the salary criteria does not mean that all EP holders will receive a higher salary. Those who do not qualify will have to leave, or be emplaced on S pass, for which a quota and levy apply.
A higher salary bar will also reduce the risk of employers preferring to hire EP holders over Singaporeans due to the foreigners being cheaper.
Q: Is this a minimum wage for (EP) holders? 
No, there is no minimum wage set for both locals and foreigners working in Singapore. EP holders will receive salaries that will match their qualifications, experience and expertise.
However, foreigners will have to earn at least S$3,600 per month to qualify for the EP. Those with lower salaries will have to apply for an S Pass to work in Singapore.
Q: I heard many companies falsely declare a higher salary for their EP holders. Is the EP salary criteria effective in moderating the inflow of EP holders? 
MOM takes a serious view of fraudulent submissions of salary information and errant employers will be prosecuted for false salary declarations. The following are examples of employers who have been taken to task for salary declarations:
MOM will continue to conduct stringent checks to detect and act against false declarations of EP salaries. 
If you know of any person or employer who has made false salary declarations, please report the matter to MOM at 6438 5122 or email mom_fmmd@mom.gov.sg. 
Source: MOM
"
Transport & Motoring,Why are MRT trains being shipped back to manufacturer?,/factually/content/why-are-mrt-trains-being-shipped-back-to-its-manufacturer,"
                Why are MRT trains being shipped back to manufacturer?
            ","
                    06 Feb 2018
                ","Why are MRT trains being shipped back to their manufacturer? 
Defects were found during a check of new trains manufactured by Kawasaki Heavy Industries and CSR Sifang in late 2013. There were a few hairline cracks on the car-body. These are superficial cracks (like those that show up on the walls of a new house). They are not structural cracks and are not safety-critical. No cracks were found on other train components after further inspections.

Are these defects dangerous? 
The defects are hairline cracks (due to material impurity that occurred during manufacturing) and are not safety-critical. They do not affect the train’s systems, performance or passengers’ safety.

Are the trains still under warranty? 
Yes, they are still under the manufacturer’s warranty. As such, the Land Transport Authority (LTA) is sending the trains in small batches back to the manufacturer for rectification. This is the appropriate thing to do to ensure we get the value for our money.  

How can you be sure the trains are safe?
To ensure that trains are safe for passenger service, all defects are monitored closely. Monthly safety assessments are also conducted by LTA and the manufacturer before trains are put into service.

LTA also commissioned an external third party assessment in 2013 which had confirmed that the trains are safe to operate. As advised by the third party assessment, there has also been close monitoring of the crack propagation rate.

Why send back only one train at a time and not all 26 trains?
To ensure adequate train availability, only one train (six train cars) is sent back for repair at any one time. Starting next year, two trains will be sent back concurrently as we will have more new and upgraded trains to maintain train availability.

Why do the trains have to be sent back to China for repair?
The most effective way to address the defects is to replace the entire car-body shell. However, due to the lack of facilities and space for such replacement works of such nature at our Singapore train depots, the trains were sent back for repairs.

Why transport these trains in the dead of night?
Our trains are big and massive equipment. They are transported at night, with auxiliary police officers clearing the way ahead, to minimise obstruction and inconvenience to road users. Likewise, new trains that arrive in Singapore are transported on our roads at night.

Then why cover them up in green covers?
The green covers are to protect the trains, just as how we would bubble-wrap or enclose in boxes and styrofoam-pad electronic equipment and machinery that we want to transport overseas.  

Will the repairs really take 7 years?  
No, LTA has negotiated with the manufacturer and it will be able to speed up the process. Trains are being sent in batches and the rectification work will be completed in 2019. Each train car body replacement takes up to four months.

Was there really a case of a battery explosion? 
The battery housing cover for one train undergoing testing before being put into service, flew open due to a build-up of gases. Immediate action was taken to improve the battery housing design for all affected trains. 

What about shattered train windows?
No defects were found on train windows (the large ones behind passenger seats). However, cracks on draughtscreens (the glass panel at the side of a row of seats) were found on five trains. These were due to errors during the installation process which caused stress pressures on the glass, and unrelated to the incidents of hairline cracks on the trains.

For additional information: LTA's Facebook

Source: Ministry of Transport
"
Transport & Motoring,Why do HDB and URA need to increase carpark charges?,/factually/content/why-do-hdb-and-ura-need-to-increase-carpark-charges,"
                Why do HDB and URA need to increase carpark charges?
            ","
                    06 Feb 2018
                ","Our general approach has been to ensure that car owners pay a fair share of the cost of carparks by recovering the cost through carpark charges. 

While carpark charges have not changed since 2002, inflation as well as costs of operating public car parks have increased significantly. Since 2002, core-inflation has risen by about 30%. Total costs of operating public carparks have increased even more over the same period, by a total of about 40%. 

For HDB carparks, which account for 90% of carparks in Singapore, costs have increased due to several factors:


Without the fee revision, HDB projects that it will face an average deficit of more than $100m annually in the coming years.

For URA’s many carparks in the city centre, parking charges are set higher than HDB carparks in order to appropriately manage parking demand. Despite this, without the fee revision, URA expects to incur a deficit in its carpark activity.

Source: HDB & URA
"
Economy & Finance,Why are electricity tariffs rising?,/factually/content/why-are-electricity-tariffs-rising,"
                Why are electricity tariffs rising?
            ","
                    06 Feb 2018
                ","Electricity tariffs are revised every quarter to reflect changes in the costs of producing and delivering electricity. These tariff revisions are reviewed and approved by the Energy Market Authority (EMA) to ensure that electricity consumers are not overcharged.

The increase in electricity tariffs for this quarter is mainly due to the higher cost of natural gas for electricity generation, which rose by 26 per cent, compared to second quarter of 2016.

Despite the increase, the 3Q2016 tariff is still lower than the preceding quarters in 1Q2016 and 3Q2015.



The Government assists Singaporean households with their living expenses via the GST Voucher - Utilities Save (U-Save) rebate. The schedule for the U-Save rebates is as below. 



Source: Ministry of Trade & Industry 
"
Law & Government,Do Ministers get free healthcare?,/factually/content/do-ministers-get-free-healthcare,"
                Do Ministers get free healthcare?
            ","
                    06 Feb 2018
                ","TR Emeritus has once again sought to mislead the public by publishing a vicious claim that a Cabinet Minister is “fully entitled to free A-Class healthcare in government and restructured hospitals”, giving the impression Minister Heng Swee Keat’s medical expenses are being funded by taxpayers. This is a blatant lie.

As TRE would have known very well if it had bothered to check the facts, Ministers in Singapore are on the same medical benefit scheme – the Medisave-cum-Subsidised Outpatient (MSO) scheme – as most civil servants. Officers on the MSO Scheme get a 2% CPF contribution to their Medisave accounts capped at $2,380 per year on top of their normal statutory Medisave contributions. This can then be used to buy Medishield Life or other portable Medisave-approved insurance plan to cover their inpatient needs. Ministers receive no extra benefits for themselves or their spouses/children. All Ministers and other political office-holders pay tax.

Minister Heng’s hospitalisation is most certainly not borne by taxpayers’ monies.

The Editor of TRE added a caveat at the end of the said article that he wishes Minister Heng well, but decided to reproduce the “letter” anyway to “show an alternative angle to his situation and the underlying socio-political issues”. A vicious lie is not an ""alternative angle”. Choosing to run an article that contained glaring misinformation that could have been easily searched and verified online is irresponsible.
"
Law & Government,Are CPF funds mismanaged?,/factually/content/are-cpf-funds-mismanaged,"
                Are CPF funds mismanaged?
            ","
                    07 Feb 2018
                ","There have been a few online articles recently relating to the management of CPF monies. One article alleged that our CPF has been “seriously mismanaged” by the CPF CEO. The article led some netizens to allege that the Government is “robbing” CPF members of their hard-earned money. There was also an online article which alleged that the CPF Board kept the difference between interest earned on new Special Singapore Government Securities (SSGS) issued at 4% interest per annum, and the interest paid on savings in the Ordinary Account (OA) of 3.5% on the first $20,000 and 2.5% on the rest of the OA savings, while another asked how the government was going to repay CPF monies if their investments were to fail. These articles are misleading.
To put the record straight, the CPF Board invests CPF members’ savings in SSGS, and the coupon rates which these SSGS earn for CPFB match the interest rates that CPF members receive. For example, for Ordinary Account savings earning a 2.5% interest rate, the corresponding SSGS will have a matching 2.5% coupon rate. On the other hand, for Special, Retirement and Medisave Account monies that are invested in SSGS paying a coupon of 4% per annum, CPF members will receive 4% on these balances. CPF members do not bear any investment risk at all in their CPF balances. The investment risk is borne by the Government. Their monies are safe, and the returns that they have been promised are fully guaranteed by the Government. This is a solid guarantee as the Singapore Government is one of the few remaining triple-A credit-rated governments in the world.   
The Government has already provided detailed explanations on how CPF monies are managed. The details on the management of CPF monies and how CPF interest rates are determined can be found on MOF’s website.
For CPF members who wish to take more risks in hope of higher returns, they can do so by investing their monies directly in the market through the CPF Investment Scheme (CPFIS).
"
Law & Government,Were CPF Board and Government-linked entities identified in the Panama Papers?,/factually/content/were-cpf-board-and-government-linked-entities-identified-in-the-panama-papers,"
                Were CPF Board and Government-linked entities identified in the Panama Papers?
            ","
                    07 Feb 2018
                ","Recently, there was a report that CPF Holdings Co Group and Temasek Wellness Investments were among the Singapore entities named in the International Consortium of Investigative Journalism (ICIJ) database. Some have wondered if these two companies are linked to the Singapore Government. 
The answer is no. CPF Holdings Co Group is not linked to the Central Provident Fund (CPF) Board. Temasek Wellness Investments is not linked to Temasek Holdings. According to the ICIJ database, the shareholders of the two companies are two different individuals. 
The Ministry of Finance (MOF) and the Monetary Authority of Singapore (MAS) are reviewing the information released on the persons and entities identified in the Panama Papers. Both agencies have made it clear that Singapore will not hesitate to take firm supervisory and enforcement action if there is evidence of wrong-doing by any individual or entity in Singapore.
"
Law & Government,Is my vote secret?,/factually/content/is-my-vote-secret,"
                Is my vote secret?
            ","
                    07 Feb 2018
                ","Yes, your vote is secret. 

When an election is held in Singapore, the Elections Department follows the procedures laid out by law to ensure the integrity of the election. There is a process to ensure the security of your vote and voting secrecy, and it is rigorous. There is no break in the chain of custody of ballot papers from the polling station to the counting centre, and from the counting centre to the Supreme Court where the ballot papers are retained in safe custody for 6 months and then subsequently destroyed. For transparency, the process is open to observation by candidates and their agents who are present.

What is the vote counting process like?

Before polling commences at 8 am

Ballot boxes are marked and shown to candidates and their polling agents who are present, so they can verify that the boxes are empty. The boxes are then sealed by election officials at the polling station. This is done before the start of the polls on Polling Day.

After polls close at 8 pm

After the polls have closed, election officials at the polling station seal the ballot boxes containing the ballot papers which have been cast. Candidates and their polling agents who are present witness the process and may also place their own seals on the ballot boxes. The sealed ballot boxes are then transported under Police escort to the counting centre.  

Counting of votes 

At the counting centre, candidates and their counting agents may inspect all the boxes again to ascertain that all the boxes are accounted for, and that no others are present; and to ensure that the seals of all the ballot boxes are intact and have not been tampered with. Once they are satisfied that the boxes have remained secure, the seals are broken and the ballot boxes opened. The ballot papers will be poured out, sorted and counted. 
Is it possible to know the vote outcome of a certain part of a constituency? Would this compromise voting secrecy?

Votes cast at each polling station are counted separately. The Assistant Returning Officer is required to announce the counting result for each polling station to candidates and counting agents who are present. The results for all polling stations in a constituency are then tallied to obtain the election result for that constituency.

While it is possible for candidates and counting agents to know how voters have voted for various polling stations in aggregate, it is not possible to know who an individual voter has voted for. Voting secrecy is thus preserved.

What is a sample count?



https://www.youtube.com/embed/vXnjf5MyghA"" https://www.youtube.com/embed/vXnjf5MyghA"" 


 

A sample count is performed at the start of the counting process. It gives an early indication of the possible electoral outcome for an electoral division. This helps prevent speculation and misinformation from unofficial sources while counting is underway, and before official results are announced.

At each polling station, counting assistants pick up a random bundle of 100 ballot papers in front of the candidates and counting agents present. The votes for each candidate are then counted from this random bundle. The votes will be added up, with weightage given to account for the difference in number of votes cast at each polling station. It will then be shown as a percentage of valid votes garnered by each candidate.

Why is there a serial number on my ballot paper?

To counter ballot box stuffing

The serial numbers on ballot papers enable strict accounting of all ballot papers issued and cast. That way, the number of papers found in the ballot box at the end of the election can be tallied with the number issued during the poll and the number of ballot papers stocked before the polls opened.

To prevent impersonation

If a voter casts a vote pretending to be someone else, numbered ballot papers will allow the court to match the suspicious ballot paper with the counterfoil, on which the voter's registration number is recorded.

What happens to the ballot papers after the votes have been counted?



https://www.youtube.com/embed/cbXG2z3oG5A"" https://www.youtube.com/embed/cbXG2z3oG5A"" 



 
After the election results have been announced, all ballot papers and their counterfoils are transported from the counting centre to the Supreme Court. They are then sealed in the Supreme Court vault for 6 months, before they are destroyed. The process is open to observation by candidates and their agents who are present.

Theoretically, it is possible for anyone with access to the ballot papers to identify who cast a particular vote.

However, ballot papers can only be retrieved by court order, if the court is satisfied that a vote has been fraudulently cast and the result of the election may be affected as a result.

Sources: ELD - Balloting Secrecy

Useful Links:

How is my vote still secret if the ballot paper has a serial number on it? 
How are the votes counted?
What happens to ballot boxes used in elections after polls close? 
"
